fecha,y,tiendas,m2
2022-07-17,2462139.9,769,309088.06
2022-07-18,10265708.15,2261,987570.43
2022-07-19,9200488.94,2282,996373.24
2022-07-20,8898126.44,2287,994245.22
2022-07-21,9098969.8,2290,997283.42
2022-07-22,10023871.04,2277,993842.65
2022-07-23,10835447.75,2290,1001264.57
2022-07-24,2445948.63,774,311372.1
2022-07-25,8954294.87,2017,889673.43
2022-07-26,9753640.54,2244,979901.24
2022-07-27,9466821.87,2277,994285.19
2022-07-28,9341467.55,2250,984482.73
2022-07-29,10447856.2,2279,996115.23
2022-07-30,11156125.57,2287,999786.53
2022-07-31,2523905.04,809,330717.74
2022-08-01,11064054.45,2267,991967.27
2022-08-02,10075093.25,2283,996828.32
2022-08-03,9371129.16,2276,988601.32
2022-08-04,9413331.02,2293,996870.57
2022-08-05,9921398.58,2264,990711.28
2022-08-06,10404008.62,2285,999692.23
2022-08-07,2305945.93,770,309978.95
2022-08-08,10428872.44,2263,989565.99
2022-08-09,9300662.81,2273,993596.05
2022-08-10,9198424.44,2275,993108.39
2022-08-11,9254114.19,2285,996412.92
2022-08-12,10153129.02,2282,997137.63
2022-08-13,11061304.39,2291,1003161.92
2022-08-14,2390023.83,790,318072.83
2022-08-15,4301498.26,1372,612356.86
2022-08-16,10949386.31,2219,970988.61
2022-08-17,9164066.45,2285,996811.61
2022-08-18,8793848.18,2296,1001616.1
2022-08-19,9118806.43,2253,982908.26
2022-08-20,9722698.0,2290,1002491.12
2022-08-21,2201191.4,771,310581.51
2022-08-22,9854824.02,2264,989132.08
2022-08-23,8777790.9,2280,996076.52
2022-08-24,8830381.92,2263,988782.6
2022-08-25,9056873.85,2274,993245.35
2022-08-26,9465309.23,2278,996601.09
2022-08-27,9607178.68,2274,992648.6
2022-08-28,2284677.96,800,327863.02
2022-08-29,9564425.32,2264,988035.44
2022-08-30,8908550.23,2268,990291.53
2022-08-31,8773756.37,2278,991966.6
2022-09-01,8682944.76,2278,991162.44
2022-09-02,9077304.72,2278,994332.59
2022-09-03,9566087.04,2288,999804.92
2022-09-04,2206878.67,771,310921.16
2022-09-05,9232258.26,2247,979856.77
2022-09-06,8327991.18,2213,965046.53
2022-09-07,8732287.68,2291,997023.68
2022-09-08,6941837.15,1907,814001.66
2022-09-09,9277130.29,2236,976909.43
2022-09-10,9835052.79,2286,999518.67
2022-09-11,2191353.53,750,299440.84
2022-09-12,9901604.07,2260,988985.05
2022-09-13,8725852.6,2261,987658.95
2022-09-14,8334716.18,2247,982152.43
2022-09-15,7848224.01,2244,979602.92
2022-09-16,8706946.69,2266,988213.82
2022-09-17,9372819.52,2288,1001549.96
2022-09-18,2084763.93,728,288453.09
2022-09-19,9059251.25,2254,984968.41
2022-09-20,8252269.12,2278,995293.69
2022-09-21,7957820.11,2268,987765.78
2022-09-22,7968503.3,2287,996296.18
2022-09-23,8956217.74,2275,994009.48
2022-09-24,9729413.3,2254,986823.7
2022-09-25,2131048.62,719,284521.43
2022-09-26,9286109.7,2258,989525.53
2022-09-27,8314130.28,2265,991764.38
2022-09-28,8037209.96,2280,997425.66
2022-09-29,7919789.57,2247,982207.44
2022-09-30,9092493.7,2281,996593.18
2022-10-01,9384318.37,2288,1001196.42
2022-10-02,2002153.75,696,269846.41
2022-10-03,9076497.46,2261,989801.52
2022-10-04,8308786.84,2274,992749.14
2022-10-05,8058471.72,2275,991212.83
2022-10-06,8100501.13,2293,997892.65
2022-10-07,8619736.28,2251,983409.1
2022-10-08,9542894.2,2289,1003000.24
2022-10-09,1940395.55,690,268271.15
2022-10-10,9333154.79,2286,999752.09
2022-10-11,10024907.75,2297,1001298.58
2022-10-12,2166496.46,851,341639.09
2022-10-13,9570218.18,2296,1001207.17
2022-10-14,9316229.52,2286,1000333.38
2022-10-15,9429809.41,2273,995207.87
2022-10-16,1975956.39,689,266619.6
2022-10-17,8999046.06,2268,991511.72
2022-10-18,8040962.28,2257,985434.12
2022-10-19,7814944.75,2270,989937.67
2022-10-20,7816442.08,2283,996221.76
2022-10-21,8754216.77,2284,998017.0
2022-10-22,9197337.24,2281,997934.97
2022-10-23,1975941.27,692,268184.38
2022-10-24,8779701.43,2251,981518.56
2022-10-25,8298955.64,2261,987401.22
2022-10-26,7933110.92,2275,992934.68
2022-10-27,8065660.13,2274,992273.92
2022-10-28,9152333.01,2285,1000102.92
2022-10-29,9827179.07,2277,995810.69
2022-10-30,2074800.86,694,268321.05
2022-10-31,10373792.1,2268,989550.68
2022-11-01,2830328.87,1183,521929.81
2022-11-02,9513274.72,2277,992345.94
2022-11-03,8393277.42,2276,990559.08
2022-11-04,9060330.87,2290,1001354.79
2022-11-05,9461484.03,2288,1001114.18
2022-11-06,1954156.77,691,267499.47
2022-11-07,8862302.69,2268,991820.47
2022-11-08,8474277.04,2270,992960.58
2022-11-09,7864996.32,2271,992602.15
2022-11-10,8054570.82,2274,992686.3
2022-11-11,9087473.15,2278,996473.76
2022-11-12,9437558.12,2285,999849.79
2022-11-13,1942265.45,687,265915.12
2022-11-14,9005800.13,2263,989979.35
2022-11-15,7953684.9,2266,991233.9
2022-11-16,7754706.22,2277,992717.74
2022-11-17,7432254.66,2269,989224.74
2022-11-18,8422380.11,2285,998119.52
2022-11-19,8936922.51,2280,997226.76
2022-11-20,1915943.86,688,264977.96
2022-11-21,8216508.67,2263,988066.8
2022-11-22,7703632.9,2264,987995.59
2022-11-23,7463254.64,2266,990177.58
2022-11-24,7709966.11,2269,990777.63
2022-11-25,9000493.45,2284,998896.89
2022-11-26,9364753.06,2282,1000136.85
2022-11-27,2129264.26,824,339363.27
2022-11-28,8816591.9,2279,997460.02
2022-11-29,8270917.32,2281,996253.9
2022-11-30,8182294.86,2283,995067.27
2022-12-01,8216834.02,2295,999197.22
2022-12-02,8842644.96,2296,1004499.62
2022-12-03,9350264.03,2273,996726.27
2022-12-04,2399977.75,1248,555885.27
2022-12-05,10124456.82,2291,1001829.5
2022-12-06,2587176.59,1111,458165.77
2022-12-07,10803551.23,2293,1002122.17
2022-12-08,3429595.83,1600,715642.34
2022-12-09,9670961.6,2294,1002836.91
2022-12-10,8930041.24,2285,999257.87
2022-12-11,2181575.35,1051,453107.14
2022-12-12,8716628.06,2291,1002079.62
2022-12-13,7711937.33,2295,1003264.42
2022-12-14,7732576.73,2296,1002670.9
2022-12-15,7772232.65,2302,1003849.28
2022-12-16,8121349.29,2296,1004878.06
2022-12-17,8685225.4,2297,1005823.22
2022-12-18,2328462.68,1179,516634.42
2022-12-19,8629258.57,2294,1003484.38
2022-12-20,7844567.0,2297,1004678.38
2022-12-21,8244830.41,2301,1005796.54
2022-12-22,8254644.35,2304,1005912.19
2022-12-23,9957961.19,2302,1006477.32
2022-12-24,8564224.99,2298,1006277.32
2022-12-25,30449.56,24,8008.49
2022-12-26,3922565.95,1594,702164.86
2022-12-27,8538111.02,2299,1005955.82
2022-12-28,7786751.47,2298,1005145.54
2022-12-29,8252210.52,2297,1003958.39
2022-12-30,9756332.55,2299,1005944.26
2022-12-31,8187100.96,2294,1004596.91
2023-01-01,58519.51,28,9581.28
2023-01-02,5813888.82,1960,850222.1
2023-01-03,7877019.71,2305,1006277.32
2023-01-04,7852148.22,2305,1005641.31
2023-01-05,8809330.9,2303,1006277.32
2023-01-06,599155.23,293,101551.22
2023-01-07,9741881.13,2296,1004561.84
2023-01-08,1969172.35,837,346543.31
2023-01-09,9513050.29,2289,1000444.36
2023-01-10,8056541.39,2292,1002178.81
2023-01-11,7616080.22,2298,1001941.6
2023-01-12,7406392.39,2302,1002549.89
2023-01-13,8172377.22,2298,1004566.27
2023-01-14,8870059.17,2294,1003643.01
2023-01-15,1909849.09,726,283911.57
2023-01-16,8384920.01,2282,997624.0
2023-01-17,7558868.32,2278,995975.08
2023-01-18,7526161.45,2297,1001888.78
2023-01-19,7407317.01,2297,1000959.23
2023-01-20,8233762.58,2267,992013.88
2023-01-21,8836449.42,2295,1004752.7
2023-01-22,1848931.61,694,267848.76
2023-01-23,8307798.28,2265,989552.94
2023-01-24,7815083.36,2276,995326.06
2023-01-25,7914735.41,2285,999507.6
2023-01-26,7677346.24,2289,1000160.0
2023-01-27,8574598.41,2296,1004718.06
2023-01-28,9054548.37,2291,1002183.4
2023-01-29,1890734.57,695,267998.3
2023-01-30,8495509.41,2242,977807.28
2023-01-31,8196768.63,2289,998861.64
2023-02-01,7889220.18,2298,1000633.37
2023-02-02,7730825.19,2280,992572.53
2023-02-03,8507712.77,2277,994200.0
2023-02-04,9072774.34,2296,1004769.46
2023-02-05,1902617.76,696,268405.78
2023-02-06,8707306.26,2279,996672.79
2023-02-07,7718490.42,2286,998115.41
2023-02-08,7737335.26,2294,999952.83
2023-02-09,7729476.37,2289,997147.7
2023-02-10,8773161.6,2294,1003236.13
2023-02-11,9087336.06,2289,1001783.82
2023-02-12,1882900.81,691,266730.13
2023-02-13,8606050.17,2276,994729.52
2023-02-14,7672438.59,2282,995994.55
2023-02-15,7662123.1,2293,998056.05
2023-02-16,7662681.54,2287,995696.98
2023-02-17,8627587.09,2293,1001722.03
2023-02-18,8991632.53,2293,1002554.56
2023-02-19,1875469.82,694,267500.81
2023-02-20,8708485.32,2264,989876.85
2023-02-21,7217668.76,2105,916064.84
2023-02-22,7976190.75,2273,992803.95
2023-02-23,7942840.15,2285,998794.74
2023-02-24,9229839.38,2293,1000953.37
2023-02-25,9710594.83,2293,1002796.33
2023-02-26,1981988.22,691,267400.68
2023-02-27,9348584.28,2277,992370.86
2023-02-28,6630476.09,1839,772800.43
2023-03-01,8714785.82,2285,994612.61
2023-03-02,8393899.7,2291,996216.52
2023-03-03,8930119.19,2293,1001544.06
2023-03-04,9399403.91,2296,1004510.26
2023-03-05,1991008.7,697,268952.5
2023-03-06,8711048.67,2239,977154.56
2023-03-07,8112631.19,2281,996485.6
2023-03-08,7757010.84,2291,998767.11
2023-03-09,7843811.43,2289,997422.65
2023-03-10,8921200.69,2300,1004316.52
2023-03-11,9206164.28,2296,1004036.7
2023-03-12,1955364.56,704,273089.06
2023-03-13,8862918.83,2276,993924.17
2023-03-14,8007219.51,2284,996848.37
2023-03-15,7881978.71,2291,997837.45
2023-03-16,7876426.6,2290,997279.58
2023-03-17,8936109.63,2296,1003511.06
2023-03-18,9268565.88,2297,1004967.97
2023-03-19,1853301.19,701,270935.29
2023-03-20,8003682.75,2257,988182.01
2023-03-21,8263613.52,2287,998091.67
2023-03-22,8204173.04,2297,1000393.19
2023-03-23,8027144.84,2300,999895.83
2023-03-24,9392306.99,2300,1005166.62
2023-03-25,9666825.58,2297,1004757.27
2023-03-26,1916061.39,704,271646.8
2023-03-27,9142455.3,2282,999050.77
2023-03-28,8225715.98,2279,996394.93
2023-03-29,8149749.27,2296,1002346.44
2023-03-30,8370638.64,2297,1002231.36
2023-03-31,9412740.41,2289,999938.76
2023-04-01,10086040.11,2302,1006585.32
2023-04-02,2004539.59,776,308736.77
2023-04-03,9627671.89,2298,1004133.09
2023-04-04,9186889.71,2305,1006651.5
2023-04-05,11091325.41,2308,1007315.47
2023-04-06,6940339.7,2100,921867.55
2023-04-07,2300005.16,858,353355.03
2023-04-08,10361949.48,2301,1006640.87
2023-04-09,1964731.34,823,331608.67
2023-04-10,8584162.15,1902,831565.09
2023-04-11,9495900.8,2264,987151.16
2023-04-12,8710653.84,2288,998076.24
2023-04-13,8369566.21,2293,997521.48
2023-04-14,9140025.74,2302,1004425.71
2023-04-15,9721220.57,2299,1004737.03
2023-04-16,2076674.23,739,287328.49
2023-04-17,9070771.7,2234,974739.13
2023-04-18,8453969.23,2283,996609.56
2023-04-19,8274425.1,2295,999675.55
2023-04-20,8289030.87,2287,995759.58
2023-04-21,9269733.31,2297,1002331.8
2023-04-22,9755199.04,2297,1003759.44
2023-04-23,2052110.56,725,280859.96
2023-04-24,9010913.22,2166,941894.94
2023-04-25,8973083.22,2265,990188.55
2023-04-26,8783006.11,2241,978835.65
2023-04-27,9141399.47,2290,1000459.64
2023-04-28,10500710.62,2292,1000526.45
2023-04-29,11499815.56,2302,1006147.17
2023-04-30,3207076.38,1266,558441.06
2023-05-01,1954066.14,597,221843.42
2023-05-02,10941698.3,2294,1002953.2
2023-05-03,9694474.17,2287,992991.75
2023-05-04,9197444.13,2315,1006840.49
2023-05-05,9593294.7,2297,1002507.21
2023-05-06,10066974.41,2296,1004158.13
2023-05-07,2042160.32,730,282297.2
2023-05-08,9386074.98,2282,996161.53
2023-05-09,8775548.45,2300,1005035.86
2023-05-10,8722796.99,2309,1005469.85
2023-05-11,8508354.03,2306,1001325.93
2023-05-12,9349080.38,2300,1004227.3
2023-05-13,9796822.34,2270,991636.4
2023-05-14,2089547.55,731,282271.93
2023-05-15,8662874.66,2187,955545.41
2023-05-16,8952346.88,2304,1004420.62
2023-05-17,8383744.78,2210,963773.14
2023-05-18,8408296.86,2304,1001663.05
2023-05-19,9244882.46,2301,1002051.85
2023-05-20,9593300.24,2302,1006075.3
2023-05-21,2142908.57,726,280102.42
2023-05-22,9294570.46,2279,993643.61
2023-05-23,8421289.44,2306,1003955.9
2023-05-24,8618755.88,2308,1004731.94
2023-05-25,8727258.88,2308,1005300.15
2023-05-26,9566403.88,2303,1002481.79
2023-05-27,9742995.69,2304,1005085.09
2023-05-28,2208307.41,726,279372.02
2023-05-29,9046945.98,2282,994231.49
2023-05-30,8933826.92,2305,1001901.16
2023-05-31,8512381.23,2211,956703.4
2023-06-01,8899178.8,2311,1000626.12
2023-06-02,9585877.92,2306,1005272.38
2023-06-03,9956665.29,2308,1007999.83
2023-06-04,2340312.02,792,312595.52
2023-06-05,9360720.29,2241,979085.71
2023-06-06,8942787.64,2317,1008670.77
2023-06-07,8703077.65,2314,1006080.87
2023-06-08,7852247.86,2136,924694.07
2023-06-09,9421721.11,2284,996710.0
2023-06-10,9887584.29,2310,1008444.65
2023-06-11,2325543.08,797,318315.6
2023-06-12,9370007.95,2278,989007.97
2023-06-13,8502984.21,2291,996938.32
2023-06-14,8544944.84,2319,1007020.14
2023-06-15,8678307.66,2322,1008176.96
2023-06-16,9565950.65,2314,1008619.2
2023-06-17,10387214.97,2316,1011159.0
2023-06-18,2540135.5,833,334892.24
2023-06-19,9567684.28,2312,1008125.99
2023-06-20,8682030.42,2318,1008983.34
2023-06-21,8506999.21,2324,1009188.58
2023-06-22,8691333.0,2329,1011070.25
2023-06-23,10247124.8,2319,1013172.01
2023-06-24,9725858.01,2118,924430.73
2023-06-25,2962143.83,908,371813.74
2023-06-26,10666903.32,2312,1007008.75
2023-06-27,9545594.14,2324,1011003.53
2023-06-28,9386583.21,2328,1012204.31
2023-06-29,9007366.9,2252,978485.91
2023-06-30,10220318.9,2327,1013479.72
2023-07-01,10908270.56,2323,1014452.35
2023-07-02,2897541.02,900,369592.86
2023-07-03,10335991.71,2309,1004796.74
2023-07-04,9373546.52,2328,1012901.5
2023-07-05,9157890.53,2330,1013602.13
2023-07-06,9079849.95,2339,1016286.48
2023-07-07,9756504.03,2301,1004218.68
2023-07-08,10542655.33,2321,1014180.26
2023-07-09,2763687.87,863,347978.88
2023-07-10,10401739.96,2313,1009193.27
2023-07-11,9431256.21,2317,1010419.66
2023-07-12,8995659.67,2335,1014834.16
2023-07-13,8956498.15,2334,1013336.9
2023-07-14,9756424.82,2324,1010505.22
2023-07-15,10522685.91,2322,1013909.6
2023-07-16,2750320.98,858,345429.03
